SESSION,ID,MODEL,EPOCHS,PATIENCE,EPOCHS_COMPLETED,LR,LR_DECAY,DP_CONV,DP_FC,VAL_ERROR,TRAIN_ERROR,VAL_LOSS,TRAIN_LOSS
1,1572229168_3231587,PaperCNN,200,20,64,0.001,1,0,0,0.027218290691345,0.026954177897574,0.000671830034041,0.000609161185397
1,1572230102_851603,PaperCNN,200,20,85,0.001,1,0,0.5,0.026855380148793,0.02622848849264,0.000659663860864,0.000594283997504
1,1572231064_5712357,PaperCNN,200,20,88,0.001,1,0.1,0,0.025585193249864,0.023792245490359,0.00059697093218,0.000519685374803
1,1572232531_980638,PaperCNN,200,20,134,0.001,1,0.1,0.5,0.024315006350935,0.022289031722994,0.000586298766068,0.000475250224701
1,1572234062_859938,PaperCNN,200,20,140,0.0001,1,0,0,0.02739974596262,0.02545096413021,0.000657295436749,0.000564344210128
1,1572235218_4899023,PaperCNN,200,20,107,0.0001,1,0,0.5,0.027581201233896,0.028975741239892,0.000696576693717,0.000652165212476
1,1572236296_7508826,PaperCNN,200,20,97,0.0001,1,0.1,0,0.028851388132825,0.030012440389799,0.000682561057889,0.000673822218426
1,1572237972_601044,PaperCNN,200,20,152,0.0001,1,0.1,0.5,0.028125567047723,0.027368857557537,0.000662639484653,0.000594769282123
1,1572240142_5342572,PaperCNN,200,20,200,1E-05,1,0,0,0.036835420068953,0.036750984864192,0.000898729594746,0.000844179204252
1,1572241305_1729262,PaperCNN,200,20,104,1E-05,1,0,0.5,0.042460533478498,0.043489529338586,0.001041874949263,0.001014357909874
1,1572241618_656819,PaperCNN,200,20,27,1E-05,1,0.1,0,0.304663400471784,0.309454696247149,0.004874625703078,0.004738537952684
1,1572241965_5308769,PaperCNN,200,20,30,1E-05,1,0.1,0.5,0.19560878243513,0.204488907319096,0.004351007518741,0.004315377560834
1,1572243209_5561676,PaperCNN,200,20,70,0.001,1,0,0,0.025403737978588,0.026280323450135,0.000629308681669,0.000583441180731
1,1572245048_5100791,PaperCNN,200,20,104,0.001,1,0,0.5,0.026311014334967,0.023325730872901,0.000585870913926,0.000517081665149
1,1572246688_433261,PaperCNN,200,20,91,0.001,1,0.1,0,0.024677916893486,0.023688575575368,0.000644920444523,0.000519248510076
1,1572247899_4222813,PaperCNN,200,20,67,0.001,1,0.1,0.5,0.027218290691345,0.027161517727556,0.000640512511338,0.000613847366748
1,1572249596_0298004,PaperCNN,200,20,96,0.0001,1,0,0,0.027036835420069,0.026954177897574,0.000649324921919,0.000595173434894
1,1572251185_8863099,PaperCNN,200,20,90,0.0001,1,0,0.5,0.027218290691345,0.028923906282397,0.000645080735049,0.000652323588872
1,1572252653_4268327,PaperCNN,200,20,82,0.0001,1,0.1,0,0.02866993286155,0.029494090814846,0.000644450817087,0.000653622747126
1,1572254198_2549698,PaperCNN,200,20,89,0.0001,1,0.1,0.5,0.02866993286155,0.028250051834958,0.000654592099504,0.000620771639058
1,1572256761_639959,PaperCNN,200,20,151,1E-05,1,0,0,0.035020867356197,0.036699149906697,0.000858172607349,0.00085603874422
1,1572260165_7920763,PaperCNN,200,20,200,1E-05,1,0,0.5,0.032299038287062,0.032811528094547,0.000792134221291,0.000761580528649
1,1572262535_650683,PaperCNN,200,20,132,1E-05,1,0.1,0,0.04155325712212,0.040845946506324,0.00093327510473,0.000933163709168
1,1572263842_7256207,PaperCNN,200,20,74,1E-05,1,0.1,0.5,0.04608963890401,0.04488907319096,0.001049436599076,0.001067716206968
1,1572265097_819091,CustomInception,200,20,87,0.001,1,0,0,0.025585193249864,0.023584905660378,0.00058903611901,0.000528633146907
1,1572266079_4390383,CustomInception,200,20,68,0.001,1,0,0.5,0.026673924877518,0.026435828322621,0.000644309665569,0.000595090149591
1,1572267300_0230691,CustomInception,200,20,82,0.001,1,0.1,0,0.025403737978588,0.024155090192826,0.000631820226456,0.000558910370622
1,1572268669_5260775,CustomInception,200,20,92,0.001,1,0.1,0.5,0.026311014334967,0.02477710968277,0.000603330978825,0.000553638906329
1,1572270270_4946713,CustomInception,200,20,111,0.0001,1,0,0,0.025585193249864,0.026591333195107,0.000673560607814,0.000598428295004
1,1572271830_369921,CustomInception,200,20,107,0.0001,1,0,0.5,0.027218290691345,0.02633215840763,0.000631007241672,0.000594323287519
1,1572272522_4684813,CustomInception,200,20,45,0.0001,1,0.1,0,0.043004899292325,0.041623470868754,0.001020881116344,0.001015438084656
1,1572273460_0675685,CustomInception,200,20,61,0.0001,1,0.1,0.5,0.03320631464344,0.036284470246735,0.000863563779737,0.00087599475852
1,1572275160_8599145,CustomInception,200,20,115,1E-05,1,0,0,0.038105606967883,0.039705577441427,0.000942740893568,0.000931487666073
1,1572276789_2564921,CustomInception,200,20,110,1E-05,1,0,0.5,0.039194338595536,0.039550072568941,0.000924263725091,0.000922669834613
1,1572277753_858762,CustomInception,200,20,64,1E-05,1,0.1,0,0.086554164398476,0.091074020319303,0.001848180669662,0.001859448418383
1,1572280761_9269123,CustomInception,200,20,200,1E-05,1,0.1,0.5,0.050081654872074,0.048517520215633,0.001234556313566,0.001231208614729
1,1572282263_7614787,CustomInception,200,20,63,0.001,1,0,0,0.025403737978588,0.026280323450135,0.000721771248913,0.000577702515465
1,1572283824_560273,CustomInception,200,20,65,0.001,1,0,0.5,0.025222282707313,0.024621604810284,0.000585121522918,0.000564044782631
1,1572285727_502869,CustomInception,200,20,78,0.001,1,0.1,0,0.024677916893486,0.023740410532863,0.000579011437269,0.000521714836278
1,1572287049_496976,CustomInception,200,20,54,0.001,1,0.1,0.5,0.026492469606242,0.026902342940079,0.000721387428251,0.000602702550623
1,1572288835_8805861,CustomInception,200,20,76,0.0001,1,0,0,0.026311014334967,0.025917478747668,0.000628248375481,0.000596710029088
1,1572291204_726311,CustomInception,200,20,101,0.0001,1,0,0.5,0.026311014334967,0.022859216255443,0.000650407901908,0.000510568488916
1,1572292915_4477289,CustomInception,200,20,70,0.0001,1,0.1,0,0.02866993286155,0.029286750984864,0.000662487245521,0.000673365915646
1,1572294920_3711243,CustomInception,200,20,81,0.0001,1,0.1,0.5,0.029577209217928,0.030427120049762,0.000704948940607,0.000678171391927
1,1572298758_4583738,CustomInception,200,20,164,1E-05,1,0,0,0.031936127744511,0.031204644412192,0.000901366806567,0.000721961647491
1,1572300968_8108222,CustomInception,200,20,94,1E-05,1,0,0.5,0.037561241154056,0.035299606054323,0.000856231265696,0.000822539312007
1,1572305759_52445,CustomInception,200,20,197,1E-05,1,0.1,0,0.039194338595536,0.038202363674062,0.001075468953368,0.00103127815852
2,1572311238_019626,PaperCNN,400,40,147,0.001,1,0,0.5,0.025585193249863858,0.020785817955629282,0.0005943522191572833,0.000456273590658488
2,1572314897_424501,CustomInception,400,40,154,0.001,1,0,0.5,0.024496461622210086,0.012440389798880402,0.0005603237626399839,0.0002899655926275149
2,1572326169_454205,CustomVGG,400,40,253,0.001,1,0,0.5,0.021048811467973105,0.007619738751814209,0.0007164491316182949,0.00016101807187376618
3,1572595936_456301,CustomVGG,1000,200,477,0.001,1,0,0.5,0.021411722010524437,0.004354136429608135,0.0007331247927919417,8.92440834755714e-05
3,1572714186_0227396,PaperCNN,1000,200,390,0.001,1,0.1,0.5,0.023407729994556314,0.016535351441011814,0.0002965086118276399,0.00018466533645029735
3,1572719348_6901333,PaperCNN,1000,200,359,0.001,0.996,0.1,0.5,0.0239520958083832,0.016535351441011814,0.00029379383170265096,0.00018747860739378732
3,1572736083_2658336,PaperCNN,1000,200,351,0.002,1,0,0.5,0.023044819452005094,0.020215633423180557,0.00033848327936915904,0.00021962366606974513
4,1572728212_0861132,CustomVGG,1000,200,536,0.001,1,0.05,0.5,0.019234258755216893,0.004509641302094081,0.0003601442985311002,4.9241621790887494e-05
4,1572749966_573243,CustomVGG,1000,200,625,0.001,1,0.1,0.5,0.021048811467973105,0.0036802819821687427,0.00045213081122439736,3.2741703004370616e-05
5,1572804392_573339,CustomVGG,500,50,190,0.001,1,0.05,0.5,0.02358918526583198,0.016535351441011814,0.0002865202551208419,0.00018030368746533486
